Name,Games Played,Points per Game,Field Goals Made,Field Goals Attempts,3 Points Attempts Percentage,TARGET_5Yrs
Brandon Ingram,36,7.4,2.6,7.6,25,0
Andrew Harrison,35,7.2,2,6.7,23.5,0
JaKarr Sampson,74,5.2,2,4.7,24.4,0
Malik Sealy,58,5.7,2.3,5.5,22.6,1
Matt Geiger,48,4.5,1.6,3,0,1
Tony Bennett,75,3.7,1.5,3.5,32.5,0
Don MacLean,62,6.6,2.5,5.8,50,1
Tracy Murray,48,5.7,2.3,5.4,30,1
Duane Cooper,65,2.4,1,2.4,23.3,0
Dave Johnson,42,3.7,1.4,3.5,21.4,0
Corey Williams,35,2.3,0.9,2.4,33.3,0
Sam Mack,40,3.6,1.2,3,13.6,1
Lorenzo Williams,27,1.3,0.6,1.3,0,1
P.J. Hairston,45,5.6,1.9,6,30.1,0
Elmore Spencer,44,2.4,1,1.9,0,1
John Crotty,40,2.6,0.9,1.8,14.3,1
Stephen Howard,49,2.1,0.7,1.9,0,0
Randy Woods,41,1.7,0.6,1.6,21.4,0
Larry Johnson,82,19.2,7.5,15.3,22.7,0
Larry Johnson,82,19.2,7.5,15.3,22.7,1
Billy Owens,80,14.3,5.9,11.1,11.1,1
Stacey Augmon,82,13.3,5.4,11,16.7,1
Mark Macon,76,10.6,4.4,11.7,13.3,1
Steven Smith,61,12,4.9,10.7,32,0
Mitch McGary,32,6.3,2.8,5.2,0,0
Larry Stewart,76,10.4,4,7.8,0,1
Mike Iuzzolino,52,9.3,3.1,6.8,43.4,0
Doug Smith,76,8.8,3.8,9.2,0,1
Paul Graham,78,10.1,3.9,8.7,39,0
Donald Hodge,51,8.4,3.2,6.4,0,1
Dale Davis,64,6.2,2.4,4.4,0,1
Stanley Roberts,55,10.4,4.3,8.1,0,1
Terrell Brandon,82,7.4,3.1,7.3,4.3,1
Bison Dele,48,9.1,3.6,6.8,0,1
Spencer Dinwiddie,34,4.3,1.5,5,18.5,0
Tracy Moore,42,8.5,3.1,7.7,35.7,1
Greg Anthony,82,5.5,2,5.3,14.5,1
Kenny Anderson,64,7,2.9,7.5,23.1,1
Victor Alexander,80,7.4,3,5.7,0,1
David Benoit,77,5.6,2.3,4.9,21.4,1
Kevin Lynch,55,4.1,1.7,4.1,37.5,0
LaBradford Smith,48,5.1,2.1,5.1,9.5,0
Chris Corchiani,51,5,1.5,3.8,27,0
Travis Wear,51,3.9,1.6,4.1,36.7,0
Robert Pack,72,4.6,1.6,3.8,0,1
Pete Chilcutt,69,3.6,1.6,3.6,100,1
Chris Gatling,54,5.7,2.2,3.8,0,1
Tharon Mayes,24,4.1,1.3,4.1,36.6,0
Eric Murdock,50,4.1,1.5,3.7,19.2,1
Randy Brown,56,3.4,1.4,3,0,1
Greg Sutton,67,3.7,1.4,3.6,29.2,0
Elliot Perry,50,2.5,1,2.6,14.3,1
Marty Conlon,45,2.7,1.1,2.2,0,1
Rodney Monroe,38,3.4,1.4,3.8,22.2,0
John Turner,42,2.8,1,2.3,0,0
Mark Randall,54,3.2,1.3,2.8,18.8,0
Sean Green,35,4,1.8,4.5,20,0
Kevin Brooks,37,2.8,1.2,2.6,18.2,0
Doug Lee,46,2.6,1.1,2.5,27,0
Corey Crowder,51,2.2,0.8,2.2,43.3,0
Rich King,40,2.2,0.7,1.8,0,0
Stephen Thompson,19,1.6,0.7,1.9,0,0
Charles Thomas,36,1.3,0.5,1.4,11.8,0
Lionel Simmons,79,18,6.9,16.5,27.3,1
Gary Harris,55,3.4,1.2,3.9,20.4,0
Derrick Coleman,74,18.4,6.9,14.9,34.2,1
Travis Mays,64,14.3,4.6,11.3,36.5,0
Dennis Scott,82,15.7,6.1,14.4,37.4,1
Gary Payton*,82,7.2,3.2,7,7.7,1
Felton Spencer,81,7.1,2.4,4.7,0,1
Willie Burton,76,12,4.5,10.2,13.3,1
Dee Brown,82,8.7,3.5,7.5,20.6,0
Dee Brown,82,8.7,3.5,7.5,20.6,1
Dee Brown,49,1.9,0.7,2,21.4,0
Dee Brown,49,1.9,0.7,2,21.4,1
Kendall Gill,82,11,4.6,10.2,14.3,1
Duane Causwell,76,6.9,2.8,5.4,0,1
Mahmoud Abdul-Rauf,67,14.1,6.2,15.1,24,1
A.J. English,70,8.8,3.6,8.2,9.7,0
Danny Ferry,81,8.6,3.4,7.9,29.9,1
Mario Elie,33,7.2,2.4,4.8,40,1
Anthony Cook,58,5.3,2,4.9,0,0
Gerald Paddio,70,7.2,3,7.2,25,0
Bimbo Coles,82,4.9,2,4.8,17.6,1
Bo Kimble,62,6.9,2.6,6.7,29.2,0
Alec Kessler,78,6.2,2.6,6,0,0
Loy Vaught,73,5.5,2.4,4.9,0,1
Tyrone Hill,74,5.3,2,4,0,1
Marcus Liberty,76,6.7,2.8,6.8,29.8,0
Terry Mills,55,5.7,2.4,5.2,0,1
Jamal Robinson,47,5.6,2.3,5.1,18.2,0
Henry James,37,8.1,3,6.9,40,1
Jerrod Mustaf,62,4.3,1.7,3.7,0,0
Kevin Pritchard,62,3.9,1.4,3.7,16.1,0
Gerald Glass,51,6.9,2.9,6.7,11.8,0
Larry Robinson,36,3.9,1.7,4.2,0,1
Jud Buechler,74,3.1,1.3,3.1,25,1
Cedric Ceballos,63,8.2,3.2,6.7,16.7,1
Kyle Anderson,33,2.2,0.9,2.7,27.3,0
Greg Foster,54,4.4,1.8,3.9,0,1
Brian Oliver,73,3.8,1.5,3.7,27.8,0
Howard Wright,15,3.6,1.3,3.1,0,0
Tony Smith,64,3.7,1.5,3.4,0,1
Tate George,56,3.4,1.4,3.4,0,0
Rick Calloway,64,3.2,1.2,3,0,0
Steve Henson,68,3.1,1.2,2.8,33.3,1
Andy Toolson,47,2.9,1.1,2.6,37.5,0
Jayson Williams,52,3.5,1.4,3.1,50,1
Kennard Winchester,64,3.7,1.5,3.8,40,0
Johnny O'Bryant,34,2.9,1.3,3.5,0,0
Dwayne Schintzius,42,3.8,1.6,3.7,0,1
Sean Higgins,50,4.5,1.9,4.2,15.8,1
Elden Campbell,52,2.8,1.1,2.4,0,1
Kenny Williams,75,2.9,1.2,2.4,0,0
